Legislation Number,Title,Sponsor,Date of Introduction
H.R. 6088,Veterans' Compensation Cost-of-Living Adjustment Act of 2014,"Begich, Mark [Sen.-D-AK]",04/28/2014
H.R. 6089,A bill to deny admission to the United States to any representative to the United Nations who has been found to have been engaged in espionage activities or a terrorist activity against the United States and poses a threat to United States national security interests.,"Cruz, Ted [Sen.-R-TX]",04/01/2014
H.R. 6090,"A bill entitled ""United States International Programming to Ukraine and Neighboring Regions"".","McConnell, Mitch [Sen.-R-KY]",03/27/2014
H.R. 6091,Emergency Medical Services for Children Reauthorization Act of 2014,"Casey, Robert P., Jr. [Sen.-D-PA]",03/25/2014
H.R. 6092,Venezuela Defense of Human Rights and Civil Society Act of 2014,"Menendez, Robert [Sen.-D-NJ]",03/13/2014
H.R. 6093,Sunscreen Innovation Act,"Reed, Jack [Sen.-D-RI]",03/13/2014
H.R. 6094,Reliable Home Heating Act,"Thune, John [Sen.-R-SD]",03/06/2014
H.R. 6095,Blackfoot River Land Exchange Act of 2014,"Crapo, Mike [Sen.-R-ID]",02/25/2014
H.R. 6096,Clifford P. Hansen Federal Courthouse Conveyance Act,"Barrasso, John [Sen.-R-WY]",01/15/2014
H.R. 6097,Support for United States-Republic of Korea Civil Nuclear Cooperation Act,"Menendez, Robert [Sen.-D-NJ]",01/09/2014
H.R. 6098,Victims of Child Abuse Act Reauthorization Act of 2013,"Coons, Christopher A. [Sen.-D-DE]",12/11/2013
H.R. 6099,Border Patrol Agent Pay Reform Act of 2014,"Tester, Jon [Sen.-D-MT]",11/13/2013
H.R. 6100,"A bill to provide for the transfer of naval vessels to certain foreign recipients, and for other purposes.","Menendez, Robert [Sen.-D-NJ]",11/12/2013
H.R. 6101,Intelligence Authorization Act for Fiscal Year 2014,"Feinstein, Dianne [Sen.-D-CA]",11/12/2013
H.R. 6102,Accuracy for Adoptees Act,"Klobuchar, Amy [Sen.-D-MN]",10/30/2013
H.R. 6103,Gun Lake Trust Land Reaffirmation Act,"Stabenow, Debbie [Sen.-D-MI]",10/29/2013
H.R. 6104,Children's Hospital GME Support Reauthorization Act of 2013,"Casey, Robert P., Jr. [Sen.-D-PA]",09/27/2013
H.R. 6105,PEPFAR Stewardship and Oversight Act of 2013,"Menendez, Robert [Sen.-D-NJ]",09/24/2013
H.R. 6106,"A bill to designate the facility of the United States Postal Service located at 1335 Jefferson Road in Rochester, New York, as the ""Specialist Theodore Matthew Glende Post Office"".","Schumer, Charles E. [Sen.-D-NY]",09/17/2013
H.R. 6107,"A bill to designate the facility of the United States Postal Service located at 278 Main Street in Chadron, Nebraska, as the ""Sergeant Cory Mracek Memorial Post Office"".","Johanns, Mike [Sen.-R-NE]",09/12/2013
H.R. 6108,Alaska Safe Families and Villages Act of 2014,"Begich, Mark [Sen.-D-AK]",08/01/2013
H.R. 6109,Alicia Dawn Koehl Respect for National Cemeteries Act,"Coats, Daniel [Sen.-R-IN]",08/01/2013
H.R. 6110,"A bill to designate the Junction City Community-Based Outpatient Clinic located at 715 Southwind Drive, Junction City, Kansas, as the Lieutenant General Richard J. Seitz Community-Based Outpatient Clinic.","Moran, Jerry [Sen.-R-KS]",08/01/2013
H.R. 6111,Cybersecurity Enhancement Act of 2014,"Rockefeller, John D., IV [Sen.-D-WV]",07/24/2013
H.R. 6112,Congressional Award Program Reauthorization Act of 2013,"Carper, Thomas R. [Sen.-D-DE]",07/23/2013
H.R. 6113,Harmful Algal Bloom and Hypoxia Research and Control Amendments Act of 2014,"Nelson, Bill [Sen.-D-FL]",06/27/2013
H.R. 6114,Assessing Progress in Haiti Act of 2014,"Nelson, Bill [Sen.-D-FL]",06/06/2013
H.R. 6115,"A bill to designate the facility of the United States Postal Service located at 130 Caldwell Drive in Hazlehurst, Mississippi, as the ""First Lieutenant Alvin Chester Cockrell, Jr. Post Office Building"".","Cochran, Thad [Sen.-R-MS]",06/04/2013
H.R. 6116,Child Care and Development Block Grant Act of 2014,"Mikulski, Barbara A. [Sen.-D-MD]",06/03/2013
H.R. 6117,World War II Memorial Prayer Act of 2013,"Portman, Rob [Sen.-R-OH]",05/23/2013
H.R. 6118,Chesapeake Bay Accountability and Recovery Act of 2014,"Warner, Mark R. [Sen.-D-VA]",05/21/2013
H.R. 6119,DATA Act,"Warner, Mark R. [Sen.-D-VA]",05/21/2013
H.R. 6120,Freedom to Fish Act,"Alexander, Lamar [Sen.-R-TN]",05/16/2013
H.R. 6121,"Albuquerque, New Mexico, Federal Land Conveyance Act of 2013","Udall, Tom [Sen.-D-NM]",05/08/2013
H.R. 6122,Veterans' Compensation Cost-of-Living Adjustment Act of 2013,"Sanders, Bernard [Sen.-I-VT]",05/08/2013
H.R. 6123,"A bill to designate the facility of the United States Postal Service located at 35 Park Street in Danville, Vermont, as the ""Thaddeus Stevens Post Office"".","Sanders, Bernard [Sen.-I-VT]",05/07/2013
H.R. 6124,Organization of American States Revitalization and Reform Act of 2013,"Menendez, Robert [Sen.-D-NJ]",04/24/2013
H.R. 6125,A bill to modify the requirements under the STOCK Act regarding online access to certain financial disclosure statements and related forms.,"Reid, Harry [Sen.-D-NV]",04/11/2013
H.R. 6126,Near East and South Central Asia Religious Freedom Act of 2014,"Blunt, Roy [Sen.-R-MO]",03/22/2013
H.R. 6127,Animal Drug and Animal Generic Drug User Fee Reauthorization Act of 2013,"Harkin, Tom [Sen.-D-IA]",03/20/2013
H.R. 6128,Sandia Pueblo Settlement Technical Amendment Act,"Udall, Tom [Sen.-D-NM]",03/19/2013
H.R. 6129,Temporary Debt Limit Extension Act,"Shaheen, Jeanne [Sen.-D-NH]",03/12/2013
H.R. 6130,Unlocking Consumer Choice and Wireless Competition Act,"Leahy, Patrick J. [Sen.-D-VT]",03/11/2013
H.R. 6131,A bill to amend the Chesapeake and Ohio Canal Development Act to extend to the Chesapeake and Ohio Canal National Historical Park Commission.,"Cardin, Benjamin L. [Sen.-D-MD]",03/06/2013
H.R. 6132,Minuteman Missile National Historic Site Boundary Modification Act,"Johnson, Tim [Sen.-D-SD]",03/05/2013
H.R. 6133,Green Mountain Lookout Heritage Protection Act,"Murray, Patty [Sen.-D-WA]",02/28/2013
H.R. 6134,HIV Organ Policy Equity Act,"Boxer, Barbara [Sen.-D-CA]",02/14/2013
H.R. 6135,A bill to award a Congressional Gold Medal to the World War II members of the Civil Air Patrol.,"Harkin, Tom [Sen.-D-IA]",02/13/2013
H.R. 6136,Natchez Trace Parkway Land Conveyance Act of 2013,"Cochran, Thad [Sen.-R-MS]",02/13/2013
H.R. 6137,A bill to reinstate and extend the deadline for commencement of construction of a hydroelectric project involving the American Falls Reservoir.,"Risch, James E. [Sen.-R-ID]",02/11/2013
H.R. 6138,"A bill to amend Public Law 93-435 with respect to the Northern Mariana Islands, providing parity with Guam, the Virgin Islands, and American Samoa.","Wyden, Ron [Sen.-D-OR]",02/07/2013
H.R. 6139,PREEMIE Reauthorization Act,"Alexander, Lamar [Sen.-R-TN]",02/07/2013
H.R. 6140,Multinational Species Conservation Funds Semipostal Stamp Reauthorization Act of 2013,"Portman, Rob [Sen.-R-OH]",02/07/2013
H.R. 6141,"A bill to authorize the Peace Corps Commemorative Foundation to establish a commemorative work in the District of Columbia and its environs, and for other purposes.","Portman, Rob [Sen.-R-OH]",02/07/2013
H.R. 6142,Corporal Michael J. Crescenz Act of 2013,"Toomey, Patrick [Sen.-R-PA]",02/07/2013
H.R. 6143,Denali National Park Improvement Act,"Murkowski, Lisa [Sen.-R-AK]",01/28/2013
H.R. 6144,Powell Shooting Range Land Conveyance Act,"Enzi, Michael B. [Sen.-R-WY]",01/24/2013
H.R. 6145,Violence Against Women Reauthorization Act of 2013,"Leahy, Patrick J. [Sen.-D-VT]",01/22/2013
H.R. 6146,"To ensure that the reduced annual cost-of-living adjustment to the retired pay of members and former members of the Armed Forces under the age of 62 required by the Bipartisan Budget Act of 2013 will not apply to members or former members who first became members prior to January 1, 2014, and for other purposes.","Hatch, Orrin G. [Sen.-R-UT]",01/22/2013
H.R. 6147,Sleeping Bear Dunes National Lakeshore Conservation and Recreation Act,"Levin, Carl [Sen.-D-MI]",01/22/2013
H.R. 6148,A joint resolution providing for the appointment of Michael Lynton as a citizen regent of the Board of Regents of the Smithsonian Institution.,"Leahy, Patrick J. [Sen.-D-VT]",07/08/2014
H.R. 6149,A joint resolution providing for the reappointment of John W. McCarter as a citizen regent of the Board of Regents of the Smithsonian Institution.,"Leahy, Patrick J. [Sen.-D-VT]",03/04/2014
H.R. 6150,A joint resolution providing for the appointment of Risa Lavizzo-Mourey as a citizen regent of the Board of Regents of the Smithsonian Institution.,"Leahy, Patrick J. [Sen.-D-VT]",12/11/2013
H.R. 6151,A joint resolution providing for the appointment of John Fahey as a citizen regent of the Board of Regents of the Smithsonian Institution.,"Leahy, Patrick J. [Sen.-D-VT]",12/11/2013
H.R. 6152,Video Privacy Protection Act Amendments Act of 2012,"Goodlatte, Bob [Rep.-R-VA-6]",12/17/2012
H.R. 6153,Protect our Kids Act of 2012,"Doggett, Lloyd [Rep.-D-TX-25]",12/13/2012
H.R. 6154,To change the effective date for the Internet publication of certain financial disclosure forms.,"Cantor, Eric [Rep.-R-VA-7]",12/05/2012
H.R. 6155,"To correct and improve certain provisions of the Leahy-Smith America Invents Act and title 35, United States Code.","Smith, Lamar [Rep.-R-TX-21]",11/30/2012
H.R. 6156,Former Presidents Protection Act of 2012,"Gowdy, Trey [Rep.-R-SC-4]",11/30/2012
H.R. 6157,"To designate the facility of the United States Postal Service located at 225 Simi Village Drive in Simi Valley, California, as the ""Postal Inspector Terry Asbury Post Office Building"".","Gallegly, Elton [Rep.-R-CA-24]",11/13/2012
H.R. 6158,Space Exploration Sustainability Act,"Palazzo, Steven M. [Rep.-R-MS-4]",11/09/2012
H.R. 6159,American Energy Manufacturing Technical Corrections Act,"Aderholt, Robert B. [Rep.-R-AL-4]",11/02/2012
H.R. 6160,To amend the American Recovery and Reinvestment Act of 2009 and the Emergency Economic Stabilization Act of 2008 to consolidate certain CBO reporting requirements.,"Garrett, Scott [Rep.-R-NJ-5]",10/12/2012
H.R. 6161,FDA User Fee Corrections Act of 2012,"Upton, Fred [Rep.-R-MI-6]",09/19/2012
H.R. 6162,"To provide flexibility with respect to United States support for assistance provided by international financial institutions for Burma, and for other purposes.","Royce, Edward R. [Rep.-R-CA-40]",09/19/2012
H.R. 6163,"To designate the facility of the United States Postal Service located at 6239 Savannah Highway in Ravenel, South Carolina, as the ""Representative Curtis B. Inabinett, Sr. Post Office"".","Clyburn, James E. [Rep.-D-SC-6]",09/12/2012
H.R. 6164,VA Major Construction Authorization and Expiring Authorities Extension Act of 2012,"Miller, Jeff [Rep.-R-FL-1]",09/11/2012
H.R. 6165,World War I Centennial Commission Act,"Poe, Ted [Rep.-R-TX-2]",09/10/2012
H.R. 6166,To direct the Joint Committee on the Library to accept a statue depicting Frederick Douglass from the District of Columbia and to provide for the permanent display of the statue in Emancipation Hall of the United States Capitol.,"Lungren, Daniel E. [Rep.-R-CA-3]",08/02/2012
H.R. 6167,Clothe a Homeless Hero Act,"Hochul, Kathleen C. [Rep.-D-NY-26]",08/02/2012
H.R. 6168,"To designate the facility of the United States Postal Service located at 211 Hope Street in Mountain View, California, as the ""Lieutenant Kenneth M. Ballard Memorial Post Office"".","Eshoo, Anna G. [Rep.-D-CA-14]",08/01/2012
H.R. 6169,"To amend section 1059(e) of the National Defense Authorization Act for Fiscal Year 2006 to clarify that a period of employment abroad by the Chief of Mission or United States Armed Forces as a translator, interpreter, or in a security-related position in an executive or managerial capacity is to be counted as a period of residence and physical presence in the United States for purposes of qualifying for naturalization, and for other purposes.","Dent, Charles W. [Rep.-R-PA-15]",07/26/2012
H.R. 6170,To amend the Trademark Act of 1946 to correct an error in the provisions relating to remedies for dilution.,"Smith, Lamar [Rep.-R-TX-21]",07/26/2012
H.R. 6171,Reporting Efficiency Improvement Act,"Conyers, John, Jr. [Rep.-D-MI-14]",07/25/2012
H.R. 6172,Russia and Moldova Jackson-Vanik Repeal and Sergei Magnitsky Rule of Law Accountability Act of 2012,"Camp, Dave [Rep.-R-MI-4]",07/19/2012
H.R. 6173,"To extend the Undertaking Spam, Spyware, And Fraud Enforcement With Enforcers beyond Borders Act of 2006, and for other purposes.","Bono Mack, Mary [Rep.-R-CA-45]",07/17/2012
H.R. 6174,Taking Essential Steps for Testing Act of 2012,"Grimm, Michael G. [Rep.-R-NY-13]",07/12/2012
H.R. 6175,"To amend the Revised Organic Act of the Virgin Islands to provide for direct review by the United States Supreme Court of decisions of the Virgin Islands Supreme Court, and for other purposes.","Christensen, Donna M. [Del.-D-VI-At Large]",07/12/2012
H.R. 6176,Temporary Surface Transportation Extension Act of 2012,"Mica, John L. [Rep.-R-FL-7]",06/29/2012
H.R. 6177,Child Protection Act of 2012,"Smith, Lamar [Rep.-R-TX-21]",06/29/2012
H.R. 6178,Endangered Fish Recovery Programs Extension Act of 2012,"Bishop, Rob [Rep.-R-UT-1]",06/29/2012
H.R. 6179,Foreign and Economic Espionage Penalty Enhancement Act of 2012,"Smith, Lamar [Rep.-R-TX-21]",06/27/2012
H.R. 6180,Katie Sepich Enhanced DNA Collection Act of 2012,"Schiff, Adam B. [Rep.-D-CA-29]",06/21/2012
H.R. 6181,"To amend the African Growth and Opportunity Act to extend the third-country fabric program and to add South Sudan to the list of countries eligible for designation under that Act, to make technical corrections to the Harmonized Tariff Schedule of the United States relating to the textile and apparel rules of origin for the Dominican Republic-Central America-United States Free Trade Agreement, to approve the renewal of import restrictions contained in the Burmese Freedom and Democracy Act of 2003, and for other purposes.","Camp, Dave [Rep.-R-MI-4]",06/21/2012
H.R. 6182,"To designate the facility of the United States Postal Service located at 320 7th Street in Ellwood City, Pennsylvania, as the ""Sergeant Leslie H. Sabo, Jr. Post Office Building"".","Altmire, Jason [Rep.-D-PA-4]",06/18/2012
H.R. 6183,FISA Amendments Act Reauthorization Act of 2012,"Smith, Lamar [Rep.-R-TX-21]",06/15/2012
H.R. 6184,To correct a technical error in Public Law 112-122.,"Dold, Robert J. [Rep.-R-IL-10]",06/05/2012
H.R. 6185,To make a technical correction in Public Law 112-108.,"Cole, Tom [Rep.-R-OK-4]",06/01/2012
H.R. 6186,Sequestration Transparency Act of 2012,"Hensarling, Jeb [Rep.-R-TX-5]",05/31/2012
H.R. 6187,"To repeal an obsolete provision in title 49, United States Code, requiring motor vehicle insurance cost reporting.","Harper, Gregg [Rep.-R-MS-3]",05/30/2012
H.R. 6188,"To designate the facility of the United States Postal Service located at 26 East Genesee Street in Baldwinsville, New York, as the ""Corporal Kyle Schneider Post Office Building"".","Buerkle, Ann Marie [Rep.-R-NY-25]",05/18/2012
H.R. 6189,National Flood Insurance Program Extension Act,"Biggert, Judy [Rep.-R-IL-13]",05/15/2012
H.R. 6190,"To designate the facility of the United States Postal Service located at 15285 Samohin Drive in Macomb, Michigan, as the ""Lance Cpl. Anthony A. DiLisio Clinton-Macomb Carrier Annex"".","Miller, Candice S. [Rep.-R-MI-10]",05/11/2012
H.R. 6191,Divisional Realignment Act of 2012,"Thompson, Bennie G. [Rep.-D-MS-2]",05/07/2012
H.R. 6192,Temporary Bankruptcy Judgeships Extension Act of 2012,"Smith, Lamar [Rep.-R-TX-21]",04/27/2012
H.R. 6193,Sequoia and King Canyon National Parks Backcountry Access Act,"Nunes, Devin [Rep.-R-CA-21]",04/26/2012
H.R. 6194,"To authorize the issuance of right-of-way permits for natural gas pipelines in Glacier National Park, and for other purposes.","Rehberg, Denny [Rep.-R-MT-At Large]",04/24/2012
H.R. 6195,"To designate the facility of the United States Postal Service located at 19 East Merced Street in Fowler, California, as the ""Cecil E. Bolt Post Office"".","Costa, Jim [Rep.-D-CA-20]",04/18/2012
H.R. 6196,To amend the Electronic Fund Transfer Act to limit the fee disclosure requirement for an automatic teller machine to the screen of that machine.,"Luetkemeyer, Blaine [Rep.-R-MO-9]",04/17/2012
H.R. 6197,"To amend title 5, United States Code, to make clear that accounts in the Thrift Savings Fund are subject to certain Federal tax levies.","Buerkle, Ann Marie [Rep.-R-NY-25]",04/17/2012
H.R. 6198,MAP-21,"Mica, John L. [Rep.-R-FL-7]",04/16/2012
H.R. 6199,"To designate the United States courthouse located at 709 West 9th Street in Juneau, Alaska, as the ""Robert Boochever United States Courthouse"".","Young, Don [Rep.-R-AK-At Large]",03/30/2012
H.R. 6200,National Defense Authorization Act for Fiscal Year 2013,"McKeon, Howard P. ""Buck"" [Rep.-R-CA-25]",03/29/2012
H.R. 6201,Surface Transportation Extension Act of 2012,"Mica, John L. [Rep.-R-FL-7]",03/28/2012
H.R. 6202,Ambassador James R. Lilley and Congressman Stephen J. Solarz North Korea Human Rights Reauthorization Act of 2012,"Ros-Lehtinen, Ileana [Rep.-R-FL-18]",03/22/2012
H.R. 6203,SAFE DOSES Act,"Sensenbrenner, F. James, Jr. [Rep.-R-WI-5]",03/20/2012
H.R. 6204,Drywall Safety Act of 2012,"Rigell, E. Scott [Rep.-R-VA-2]",03/19/2012
H.R. 6205,To confirm full ownership rights for certain United States astronauts to artifacts from the astronauts' space missions.,"Hall, Ralph M. [Rep.-R-TX-4]",03/07/2012
H.R. 6206,Veteran Skills to Jobs Act,"Denham, Jeff [Rep.-R-CA-19]",03/07/2012
H.R. 6207,Border Tunnel Prevention Act of 2012,"Reyes, Silvestre [Rep.-D-TX-16]",03/01/2012
H.R. 6208,Veterans' Compensation Cost-of-Living Adjustment Act of 2012,"Runyan, Jon [Rep.-R-NJ-3]",02/29/2012
H.R. 6209,"To apply the countervailing duty provisions of the Tariff Act of 1930 to nonmarket economy countries, and for other purposes.","Camp, Dave [Rep.-R-MI-4]",02/29/2012
H.R. 6210,John F. Kennedy Center Reauthorization Act of 2012,"Mica, John L. [Rep.-R-FL-7]",02/28/2012
H.R. 6211,"To authorize the Secretary of Agriculture to accept the quitclaim, disclaimer, and relinquishment of a railroad right of way within and adjacent to Pike National Forest in El Paso County, Colorado, originally granted to the Mt. Manitou Park and Incline Railway Company pursuant to the Act of March 3, 1875.","Lamborn, Doug [Rep.-R-CO-5]",02/17/2012
H.R. 6212,Improving Transparency of Education Opportunities for Veterans Act of 2012,"Bilirakis, Gus M. [Rep.-R-FL-9]",02/16/2012
H.R. 6213,Improper Payments Elimination and Recovery Improvement Act of 2012,"Towns, Edolphus [Rep.-D-NY-10]",02/16/2012
H.R. 6214,"To modify the Department of Defense Program Guidance relating to the award of Post-Deployment/Mobilization Respite Absence administrative absence days to members of the reserve components to exempt any member whose qualified mobilization commenced before October 1, 2011, and continued on or after that date, from the changes to the program guidance that took effect on that date.","Kline, John [Rep.-R-MN-2]",02/15/2012
H.R. 6215,To amend the Federal Deposit Insurance Act with respect to information provided to the Bureau of Consumer Financial Protection.,"Huizenga, Bill [Rep.-R-MI-2]",02/13/2012
H.R. 6216,To allow otherwise eligible Israeli nationals to receive E-2  nonimmigrant visas if similarly situated United States nationals are eligible for similar nonimmigrant status in Israel.,"Berman, Howard L. [Rep.-D-CA-28]",02/09/2012
H.R. 6217,"To designate the facility of the United States Postal Service located at 110 Mastic Road in Mastic Beach, New York, as the ""Brigadier General Nathaniel Woodhull Post Office Building"".","Bishop, Timothy H. [Rep.-D-NY-1]",02/07/2012
H.R. 6218,District of Columbia Special Election Reform Act,"Norton, Eleanor Holmes [Del.-D-DC-At Large]",02/06/2012
H.R. 6219,"To designate the facility of the United States Postal Service located at 8771 Auburn Folsom Road in Roseville, California, as the ""Lance Corporal Victor A. Dew Post Office"".","McClintock, Tom [Rep.-R-CA-4]",02/02/2012
H.R. 6220,"To designate the facility of the United States Postal Service located at 6083 Highway 36 West in Rose Bud, Arkansas, as the ""Nicky 'Nick' Daniel Bacon Post Office"".","Griffin, Tim [Rep.-R-AR-2]",02/01/2012
H.R. 6221,"To designate the facility of the United States Postal Service located at 600 East Capitol Avenue in Little Rock, Arkansas, as the ""Sidney 'Sid' Sanders McMath Post Office Building"".","Griffin, Tim [Rep.-R-AR-2]",02/01/2012
H.R. 6222,Ultralight Aircraft Smuggling Prevention Act of 2012,"Giffords, Gabrielle [Rep.-D-AZ-8]",01/23/2012
H.R. 6223,Airport and Airway Extension Act of 2012,"Mica, John L. [Rep.-R-FL-7]",01/23/2012
H.R. 6224,Countering Iran in the Western Hemisphere Act of 2012,"Duncan, Jeff [Rep.-R-SC-3]",01/18/2012
H.R. 6225,"To designate the facility of the United States Postal Service located at 150 South Union Street in Canton, Mississippi, as the ""First Sergeant Landres Cheeks Post Office Building"".","Thompson, Bennie G. [Rep.-D-MS-2]",01/13/2012
H.R. 6226,Temporary Payroll Tax Cut Continuation Act of 2011,"Camp, Dave [Rep.-R-MI-4]",12/23/2011
H.R. 6227,"Disaster Relief Appropriations Act, 2012","Rogers, Harold [Rep.-R-KY-5]",12/14/2011
H.R. 6228,To require the Transportation Security Administration to comply with the Uniformed Services Employment and Reemployment Rights Act.,"Walz, Timothy J. [Rep.-D-MN-1]",12/14/2011
H.R. 6229,Pinnacles National Park Act,"Farr, Sam [Rep.-D-CA-17]",12/13/2011
H.R. 6230,Middle Class Tax Relief and Job Creation Act of 2012,"Camp, Dave [Rep.-R-MI-4]",12/09/2011
H.R. 6231,Jumpstart Our Business Startups,"Fincher, Stephen Lee [Rep.-R-TN-8]",12/08/2011
H.R. 6232,"To designate the new United States courthouse in Buffalo, New York, as the ""Robert H. Jackson United States Courthouse"".","Higgins, Brian [Rep.-D-NY-27]",12/02/2011
H.R. 6233,"To designate the facility of the United States Postal Service located at 125 Kerr Avenue in Rome City, Indiana, as the ""SPC Nicholas Scott Hartge Post Office"".","Stutzman, Marlin A. [Rep.-R-IN-3]",11/18/2011
H.R. 6234,"To designate the facility of the United States Postal Service located at 133 Hare Road in Crosby, Texas, as the Army First Sergeant David McNerney Post Office Building.","Poe, Ted [Rep.-R-TX-2]",11/18/2011
H.R. 6235,Fallen Heroes of 9/11 Act,"Shuster, Bill [Rep.-R-PA-9]",11/14/2011
H.R. 6236,"To designate the facility of the United States Postal Service located at 1449 West Avenue in Bronx, New York, as the ""Private Isaac T. Cortes Post Office"".","Crowley, Joseph [Rep.-D-NY-7]",11/14/2011
H.R. 6237,"To designate the facility of the United States Postal Service located at 1421 Veterans Memorial Drive in Abbeville, Louisiana, as the ""Sergeant Richard Franklin Abshire Post Office Building"".","Boustany, Charles W., Jr. [Rep.-R-LA-7]",11/14/2011
H.R. 6238,America's Cup Act of 2011,"Herger, Wally [Rep.-R-CA-2]",11/02/2011
H.R. 6239,To allow the Pascua Yaqui Tribe to determine the requirements for membership in that tribe.,"Grijalva, Raúl M. [Rep.-D-AZ-7]",11/02/2011
H.R. 6240,"To designate the facility of the United States Postal Service located at 2810 East Hillsborough Avenue in Tampa, Florida, as the ""Reverend Abe Brown Post Office Building"".","Castor, Kathy [Rep.-D-FL-11]",10/27/2011
H.R. 6241,Lake Thunderbird Efficient Use Act of 2012,"Cole, Tom [Rep.-R-OK-4]",10/26/2011
H.R. 6242,"To designate the facility of the United States Postal Service located at 112 South 5th Street in Saint Charles, Missouri, as the ""Lance Corporal Drew W. Weaver Post Office Building"".","Akin, W. Todd [Rep.-R-MO-2]",10/24/2011
H.R. 6243,"To designate the facility of the United States Postal Service located at 1100 Town and Country Commons in Chesterfield, Missouri, as the ""Lance Corporal Matthew P. Pathenos Post Office Building"".","Akin, W. Todd [Rep.-R-MO-2]",10/24/2011
H.R. 6244,"To designate the facility of the United States Postal Service located at 15455 Manchester Road in Ballwin, Missouri, as the ""Specialist Peter J. Navarro Post Office Building"".","Akin, W. Todd [Rep.-R-MO-2]",10/24/2011
H.R. 6245,SOAR Technical Corrections Act,"Gowdy, Trey [Rep.-R-SC-4]",10/18/2011
H.R. 6246,"To designate the facility of the United States Postal Service located at 170 Evergreen Square SW in Pine City, Minnesota, as the ""Master Sergeant Daniel L. Fedder Post Office"".","Cravaack, Chip [Rep.-R-MN-8]",10/14/2011
H.R. 6247,March of Dimes Commemorative Coin Act of 2012,"Dold, Robert J. [Rep.-R-IL-10]",10/13/2011
H.R. 6248,United States-Korea Free Trade Agreement Implementation Act,"Cantor, Eric [Rep.-R-VA-7]",10/03/2011
H.R. 6249,United States-Panama Trade Promotion Agreement Implementation Act,"Cantor, Eric [Rep.-R-VA-7]",10/03/2011
H.R. 6250,United States-Colombia Trade Promotion Agreement Implementation Act,"Cantor, Eric [Rep.-R-VA-7]",10/03/2011
H.R. 6251,"To designate the facility of the United States Postal Service located at 260 California Drive in Yountville, California, as the ""Private First Class Alejandro R. Ruiz Post Office Building"".","Thompson, Mike [Rep.-D-CA-1]",09/21/2011
H.R. 6252,Raoul Wallenberg Centennial Celebration Act,"Meeks, Gregory W. [Rep.-D-NY-6]",09/21/2011
H.R. 6253,"To provide for the release of the reversionary interest held by the United States in certain land conveyed by the United States in 1950 for the establishment of an airport in Cook County, Minnesota.","Cravaack, Chip [Rep.-R-MN-8]",09/15/2011
H.R. 6254,United States Parole Commission Extension Act of 2011,"Smith, Lamar [Rep.-R-TX-21]",09/15/2011
H.R. 6255,Short-Term TANF Extension Act,"Davis, Geoff [Rep.-R-KY-4]",09/15/2011
H.R. 6256,Surface and Air Transportation Programs Extension Act of 2011,"Mica, John L. [Rep.-R-FL-7]",09/12/2011
H.R. 6257,Child and Family Services Improvement and Innovation Act,"Davis, Geoff [Rep.-R-KY-4]",09/12/2011
H.R. 6258,United States Commission on International Religious Freedom Reform and Reauthorization Act of 2011,"Wolf, Frank R. [Rep.-R-VA-10]",09/08/2011
H.R. 6259,"Pipeline Safety, Regulatory Certainty, and Job Creation Act of 2011","Shuster, Bill [Rep.-R-PA-9]",09/07/2011
H.R. 6260,Coast Guard and Maritime Transportation Act of 2012,"LoBiondo, Frank A. [Rep.-R-NJ-2]",09/02/2011
H.R. 6261,"To extend the Generalized System of Preferences, and for other purposes.","Camp, Dave [Rep.-R-MI-4]",09/02/2011
H.R. 6262,"To designate the facility of the United States Postal Service located at 8 West Silver Street in Westfield, Massachusetts, as the ""William T. Trant Post Office Building"".","Olver, John W. [Rep.-D-MA-1]",08/01/2011
H.R. 6263,"To provide the Consumer Product Safety Commission with greater authority and discretion in enforcing the consumer product safety laws, and for other purposes.","Bono Mack, Mary [Rep.-R-CA-45]",08/01/2011
H.R. 6264,Billfish Conservation Act of 2012,"Miller, Jeff [Rep.-R-FL-1]",07/29/2011
H.R. 6265,Brian A. Terry Memorial Act,"Issa, Darrell E. [Rep.-R-CA-49]",07/27/2011
H.R. 6266,"To designate the facility of the United States Postal Service located at 122 North Holderrieth Boulevard in Tomball, Texas, as the ""Tomball Veterans Post Office"".","McCaul, Michael T. [Rep.-R-TX-10]",07/26/2011
H.R. 6267,Veterans Health Care Facilities Capital Improvement Act of 2011,"Johnson, Bill [Rep.-R-OH-6]",07/26/2011
H.R. 6268,"Continuing Appropriations Act, 2012","Graves, Sam [Rep.-R-MO-6]",07/21/2011
H.R. 6269,New York City Natural Gas Supply Enhancement Act,"Grimm, Michael G. [Rep.-R-NY-13]",07/21/2011
H.R. 6270,"Airport and Airway Extension Act of 2011, Part IV","Mica, John L. [Rep.-R-FL-7]",07/15/2011
H.R. 6271,National Baseball Hall of Fame Commemorative Coin Act,"Hanna, Richard L. [Rep.-R-NY-24]",07/14/2011
H.R. 6272,"Bridgeport Indian Colony Land Trust, Health, and Economic Development Act of 2012","McKeon, Howard P. ""Buck"" [Rep.-R-CA-25]",07/08/2011
H.R. 6273,Mark Twain Commemorative Coin Act,"Luetkemeyer, Blaine [Rep.-R-MO-9]",07/07/2011
H.R. 6274,To grant the congressional gold medal to the Montford Point Marines.,"Brown, Corrine [Rep.-D-FL-3]",07/07/2011
